skill,category
agile,Technical Skill
angular,Library
apache airflow,Tool
apache kafka,Technology
apache spark,Technology
aws,Technology
aws emr,Tool
aws glue,Tool
aws redshift,Tool
azure,Technology
azure data lake storage,Tool
batch data processing,Technical Skill
c#,Programming Language
c++,Programming Language
cassandra,Tool
ci/cd,Tool
collaboration,Soft Skill
communication,Soft Skill
containerization,Technical Skill
css,Programming_Language
data analysis,Technical Skill
data governance,Technical Skill
data integration,Technical Skill
data lake,Technology
data modeling,Technical_Skill
data quality management,Technical Skill
data security,Technical Skill
data validation,Technical Skill
data visualization,Technical Skill
data warehousing,Technical Skill
distributed systems,Technical Skill
django,Library
docker,Tool
dynamodb,Tool
elt,Technical Skill
etl,Technical Skill
express,Library
flask,Library
gcp,Technology
gcp bigquery,Tool
git,Tool
github,Tool
go,Programming Language
graphql,Technology
hadoop,Technology
html,Programming Language
java,Programming Language
javascript,Programming Language
jenkins,Tool
jira,Tool
junit,Tool
kubernetes,Tool
leadership,Soft Skill
less,Programming Language
linux,Technical Skill
luigi,Tool
matplotlib,Library
mongodb,Tool
mysql,Tool
node.js,Library
numpy,Library
oracle,Tool
pandas,Library
php,Programming Language
postgresql,Tool
power bi,Tool
problem solving,Soft Skill
pytest,Tool
python,Programming Language
pytorch,Library
react,Library
redis,Tool
rest api,Technology
rest api development,Technical Skill
ruby,Programming Language
sass,Programming Language
scala,Programming Language
scikit-learn,Library
scrum,Technical Skill
seaborn,Library
selenium,Tool
spring,Library
sql,Technical Skill
sql server,Tool
sqlite,Tool
streaming data processing,Technical Skill
swift,Programming Language
tableau,Tool
teamwork,Soft Skill
tensorflow,Library
typescript,Programming Language
unit testing,Technical Skill
unix,Technical Skill
vue.js,Library
