skill,category
python,programming language
java,programming language
c++,programming language
c#,programming language
javascript,programming language
typescript,programming language
php,programming language
ruby,programming language
go,programming language
swift,programming language
scala,programming language
django,framework/library
flask,framework/library
spring,framework/library
react,framework/library
angular,framework/library
vue.js,framework/library
express,framework/library
node.js,framework/library
git,tool/platform
github,tool/platform
docker,tool/platform
kubernetes,tool/platform
aws,cloud/devOps
azure,cloud/devOps
gcp,cloud/devOps
mysql,database
postgresql,database
sqlite,database
mongodb,database
redis,database
oracle,database
html,programming language
css,programming language
sass,programming language
less,programming language
linux,tool/platform
unix,tool/platform
selenium,testing/qa
jenkins,tool/platform
jira,tool/platform
agile,soft skill
scrum,soft skill
rest api,api/integration
graphql,api/integration
ci/cd,tool/platform
unit testing,testing/qa
pytest,testing/qa
junit,testing/qa
pandas,framework/library
numpy,framework/library
scikit-learn,framework/library
matplotlib,framework/library
tensorflow,framework/library
pytorch,framework/library
communication,soft skill
teamwork,soft skill
problem solving,soft skill
leadership,soft skill
data analysis, techinal skill
containerization, devops/tooling
rest api development, technical skill
data visualization, software engineering
tableau, data visualization tool
skill,category
python,programming language
sql,programming language
java,programming language
scala,programming language
aws,cloud platform
gcp,cloud platform
azure,cloud platform
aws redshift,cloud service
aws emr,cloud service
aws glue,cloud service
gcp bigquery,cloud service
azure data lake storage,cloud service
hadoop,big data framework
apache spark,big data framework
apache kafka,big data framework
apache airflow,workflow orchestration
luigi,workflow orchestration
mysql,database
postgresql,database
sql server,database
mongodb,nosql database
cassandra,nosql database
dynamodb,nosql database
etl,data engineering
elt,data engineering
data modeling,data engineering
data warehousing,data engineering
data lake,data engineering
distributed systems,data engineering
streaming data processing,data engineering
batch data processing,data engineering
data integration,data engineering
data governance,data management
data security,cybersecurity
data validation,data quality
data quality management,data quality
git,version control
ci/cd,devops/tooling
docker,containerization
kubernetes,containerization
linux,operating system
unix,operating system
rest api,api/integration
tableau,data visualization
power bi,data visualization
matplotlib,data visualization
seaborn,data visualization
communication,soft skill
collaboration,soft skill
problem solving,soft skill
agile,methodology
